target variable	mapping	Question	Question	Note	InterVA4
MALARIA	true_to_y(id3A120 == 'yes')	Did (s)he have a recent positive test for malaria?	Did (s)he have a recent positive test by a physician or health worker for malaria?	This reflects a positive test for malaria within a week of death.	1400
MALARNEG	true_to_y(id3A130 == 'yes')	Did (s)he have a recent negative test for malaria?	Did (s)he have a recent negative test by a physician or health worker for malaria?	This reflects a negative test for malaria within a week of death.	1410
FEVER	true_to_y(id3B100 == 'yes')	Did (s)he have a fever?	Did (s)he have a fever?	Select this if there were any signs of fever during the final illness	2000
AC_FEVER	true_to_y(id3B100 == 'yes' && id3B110 < 14)	Did (s)he have fever for less than 2 weeks before death?	How many days did the fever last?		2010
CH_FEVER	true_to_y(id3B100 == 'yes' && id3B110 >= 14)	Did (s)he have fever for 2 weeks or more before death?	How many days did the fever last?		2020
NIGHT_SW	true_to_y(id3B120 == 'yes')	Did (s)he have night sweats?	Did (s)he have night sweats?		2030
COUGH	true_to_y(id3B130 == 'yes')	Did (s)he have a cough?	Did (s)he have a cough?		2040
AC_COUGH	true_to_y(id3B130 == 'yes' && id3B140 < 21)	Did (s)he have a cough for less than 3 weeks before death?	For how many days did (s)he have a cough?		2050
CH_COUGH	true_to_y(id3B130 == 'yes' && id3B140 >= 21)	Did (s)he have a cough for 3 weeks or more before death?	For how many days did (s)he have a cough?		2060
PR_COUGH	true_to_y(id3B150 == 'yes')	Was the cough productive with sputum?	Was the cough productive, with sputum?		2070
BL_COUGH	true_to_y(id3B160 == 'yes')	Did (s)he cough up blood?	Did (s)he cough up blood?		2080
WHOOP	true_to_y(id3B170 == 'yes')	Did (s)he make a whooping sound when coughing?	Did (s)he make a whooping sound when coughing?		2090
BREATH	true_to_y(id3B180 == 'yes')	Did (s)he have any breathing problem?	Did (s)he have any breathing problem?		2100
RAPID_BR	true_to_y(id3B190 == 'yes')	Did (s)he have fast breathing?	During the illness that led to death, did (s)he have fast breathing?	"If the ""any breathing problem"" indicator is selected, select this one if the deceased was an infant or child who was breathing much faster than normal."	2110
AC_RPBR	true_to_y(id3B190 == 'yes' && id3B200 < 14)	Did (s)he have fast breathing for less than 2 weeks?	For how many days did the fast breathing last?		2120
CH_RPBR	true_to_y(id3B190 == 'yes'&& id3B200 >= 14)	Did (s)he have fast breathing for 2 weeks or more?	For how many days did the fast breathing last?		2130
BR_LESS	true_to_y(id3B210 == 'yes')	Did (s)he have breathlessness?	Did (s)he have breathlessness?		2140
AC_BRL	true_to_y(id3B210 == 'yes' && id3B220 < 2)	Did (s)he have breathlessness for less than 2 weeks?	For how many weeks did (s)he have breathlessness?		2150
CH_BRL	true_to_y(id3B210 == 'yes' &&id3B220 >= 2)	Did (s)he have breathlessness for 2 weeks or more?	For how many weeks did (s)he have breathlessness?		2160
EXERT_BR	true_to_y(id3B180 == 'yes' && id3B230 == 'yes')	Was (s)he unable to carry out daily routines due to breathlessness?	Was (s)he unable to carry out daily routines due to breathlessness?		2170
LYING_BR	true_to_y(id3B180 == 'yes' && id3B240 == 'yes')	Was (s)he breathless while lying flat?	Was (s)he breathless while lying flat?		2180
CHEST_IN	true_to_y(id3B250 == 'yes')	Did you see the lower chest wall/ribs being pulled in as the child breathed?	Did you see the lower chest wall/ribs being pulled in as the child breathed?		2190
WHEEZE	true_to_y((id3B180 == 'yes' && id3B260 == 'stridor') || (id3B180 == 'yes' && id3B260 == 'grunting') || (id3B180 == 'yes' && id3B260 == 'wheezing'))	Did (s)he have noisy breathing (grunting or wheezing)?	During the illness that led to death did his/her breathing sound like any of the following:		2200
CH_PAIN	true_to_y(id3B270 == 'yes')	Did (s)he have severe chest pain?	Did (s)he have severe chest pain?		2210
YELLOW	true_to_y(id3B750 == 'yes')	Did (s)he have yellow discoloration of the eyes?	Did (s)he have yellow discoloration of the eyes?		2220
DIARR	true_to_y(id3B280 == 'yes')	Did (s)he have diarrhoea?	Did (s)he have diarrhoea?		2230
AC_DIARR	true_to_y(id3B280 == 'yes' && id3B290 < 14)	Did (s)he have diarrhoea for less than 2 weeks?	For how many days did (s)he have diarrhoea?		2240
PE_DIARR	true_to_y(id3B280 == 'yes' && id3B290 >= 14 && id3B290 < 4*7)	Did (s)he have diarrhoea for 2 to 4 weeks?	For how many days did (s)he have diarrhoea?	Select this if the diarrhoea lasted for 2 to 4 weeks, not necessarily every day	2250
CH_DIARR	true_to_y(id3B280 == 'yes' && id3B290 >= 4*7)	Did (s)he have diarrhoea for 4 weeks or more?	For how many days did (s)he have diarrhoea?		2260
BL_DIARR	true_to_y(id3B280 == 'yes' && id3B300 == 'yes')	At any time during the final illness was there blood in the stools?	At any time during the final illness was there blood in the stools?		2270
VOMITING	true_to_y(id3B310 == 'yes')	Did (s)he vomit?	Did (s)he vomit?		2280
BL_VOMIT	true_to_y(id3B310 == 'yes' && (id3B320 == 'yes' || id3B325 == 'yes'))	"Did (s)he vomit ""coffee grounds"" or bright red/blood?"	Did (s)he vomit blood?		2290
ABDOM	true_to_y(id3B330 == 'yes')	Did (s)he have any abdominal problem?	Did (s)he have any abdominal problem?		2300
ABD_PAIN	true_to_y(id3B330 == 'yes' && id3B340 == 'yes')	Did (s)he have severe abdominal pain?	Did (s)he have severe abdominal pain?		2310
AC_ABDP	true_to_y(id3B340 == 'yes' && id3B350 >= 0 && id3B350 < 14)	Did the abdominal pain last for less than 2 weeks?	For how many days before death did (s)he have severe abdominal pain?		2320
CH_ABDP	true_to_y(id3B340== 'yes' && id3B350 >= 14)	Did the abdominal pain last for 2 weeks or more?	For how many days before death did (s)he have severe abdominal pain?		2330
SWE_ABD	true_to_y(id3B360 == 'yes')	Did (s)he have a more than usually protruding abdomen?	Did (s)he have a more than usually protruding abdomen?		2340
AC_SWAB	true_to_y(id3B370 >= 0 && id3B370 < 14)	Did (s)he have a more than usually protruding abdomen for less than 2 weeks?	For how many days did (s)he have a more than usually protruding abdomen?		2350
CH_SWAB	true_to_y(id3B370 >= 14)	Did (s)he have a more than usually protruding abdomen for 2 weeks or more?	For how many days did (s)he have a more than usually protruding abdomen?		2360
ABD_MASS	true_to_y(id3B330 == 'yes' && id3B380 == 'yes')	Did (s)he have any lump inside the abdomen?	Did (s)he have any mass in the abdomen?		2370
AC_ABDM	true_to_y(id3B380 == 'yes' && id3B390 >= 0 && id3B390 < 14)	Did (s)he have a lump inside the abdomen for less than 2 weeks?	For how many days before death did (s)he have a mass in the abdomen?		2380
CH_ABDM	true_to_y(id3B380 == 'yes' && id3B390 >= 14)	Did (s)he have a lump inside the abdomen for 2 weeks or more?	For how many days before death did (s)he have a mass in the abdomen?		2390
HEADACHE	true_to_y(id3B400 == 'yes')	Did (s)he have a severe headache?	Did (s)he have a severe headache?		2400
SKIN	true_to_y(id3B530 == 'yes')	Did (s)he have any skin problems?	Did (s)he have any skin problems?		2410
SKIN_LES	true_to_y(id3B530 == 'yes' && id3B540 == 'yes')	Did (s)he have any ulcers, abscess or sores anywhere except on the feet?	Did (s)he have any ulcers, abscess or sores anywhere except on the feet?		2420
SK_FEET	true_to_y(id3B530 == 'yes' && id3B542 == 'yes')	Did (s)he have any , ulcers, abscess or sores on the feet that were not also on other parts of the body?	Did (s)he have any ulcers, abscess or sores on the feet that were not also on other parts of the body?		2430
RASH	true_to_y(id3B530 == 'yes' && id3B560 == 'yes')	During the illness that led to death, did (s)he have any skin rash?	During the illness that led to death, did (s)he have any skin rash?		2440
AC_RASH	true_to_y(id3B560 == 'yes' && id3B570 >= 0 && id3B570 < 7)	Did (s)he have the skin rash for less than 1 week?	For how many days did (s)he have the skin rash?		2450
CH_RASH	true_to_y(id3B560 == 'yes' && id3B570 >= 7)	Did (s)he have the skin rash for 1 week or more?	For how many days did (s)he have the skin rash?		2460
MEASRASH	true_to_y(id3B530 == 'yes' && id3B580 == 'yes')	Did (s)he have measles rash?	Did (s)he have measles rash (use local term)?		2470
HERPES	true_to_y(id3B530 == 'yes' && id3B590 == 'yes')	Did (s)he ever have shingles or herpes zoster?	Did (s)he ever have shingles or herpes zoster?		2480
STIFF_NECK	true_to_y(id3B405 == 'yes' || id3B409 == 'yes')	Did (s)he have a stiff or painful neck?	Did (s)he have a stiff neck during illness that led to death?		2490
AC_STNK	true_to_y((id3B405 == 'yes' || id3B409 == 'yes') && ((id3B407 >= 0 && id3B407 < 7) || (id3B410 >= 0 && id3B410 < 7)))	Did (s)he have a stiff or painful neck for less than 1 week?	For how many days before death did (s)he have stiff neck?		2500
CH_STNK	true_to_y((id3B405 == 'yes' || id3B409 == 'yes') && (id3B407 >= 7 || id3B410 >= 7))	Did (s)he have a stiff or painful neck for 1 week or more?	For how many days before death did (s)he have stiff neck?		2510
COMA	true_to_y(id3B440 == 'yes')	Was (s)he unconscious for more than 24 hours before death?	Was (s)he unconscious for more than 24 hours before death?		2520
CO_ONS	true_to_y(id3B440 == 'yes' && id3B450 == 'yes')	Did the unconsciousness start suddenly (at least within a single day)?	Did the unconsciousness start suddenly, quickly (at least within a single day)?		2530
CONVUL	true_to_y(id3B460 == 'yes')	Did (s)he have convulsions?	Did (s)he have convulsions?		2540
AC_CONV	true_to_y(id3B460 == 'yes' && id3B470 >= 0 && id3B470 < 10)	Did the convulsions last for less than 10 minutes	For how many minutes did the convulsions last?		2550
CH_CONV	true_to_y(id3B460 == 'yes' && id3B470 >= 10)	Did the convulsions last for 10 minutes or more?	For how many minutes did the convulsions last?		2560
UNC_CON	true_to_y(id3B460 == 'yes' && id3B480 == 'yes')	Did (s)he become unconscious immediately after the convulsion?	Did (s)he become unconscious immediately after the convulsion?		2570
URINE	true_to_y(id3B490 == 'yes')	Did (s)he have any urine problems?	Did (s)he have any urine problems?		2580
URI_RET	true_to_y(id3B490 == 'yes' && id3B500 == 'yes')	Did (s)he pass no urine at all?	Did (s)he pass no urine at all?		2590
EXC_URINE	true_to_y(id3B490 == 'yes' && id3B510 == 'yes')	Did (s)he go to urinate more often than usual?	Did (s)he go to urinate more often than usual?		2600
URI_HAEM	true_to_y(id3B490 == 'yes' && id3B520 == 'yes')	During the final illness did (s)he ever pass blood in the urine?	During the final illness did (s)he ever pass blood in the urine?		2610
WT_LOSS	true_to_y(id3B610 == 'yes')	Did (s)he have noticeable weight loss?	Did (s)he have noticeable weight loss?		2620
WASTING	true_to_y(id3B610 == 'yes' && id3B620 == 'yes')	Was (s)he severely thin or wasted?	Was (s)he severely thin or wasted?		2630
OR_CAND	true_to_y(id3B630 == 'yes')	Did (s)he have mouth sores or white patches in the mouth or on the tongue?	During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?		2640
RIGIDITY	true_to_y(id3B640 == 'yes')	Did (s)he have stiffness of the whole body or was unable to open the mouth?	Did (s)he have stiffness of the whole body or was unable to open the mouth?		2650
SWELL	true_to_y(id3B670 == 'yes')	Did (s)he have any lumps?	Did (s)he have any lumps?		2660
SWE_ORAL	true_to_y(id3B670 == 'yes' && id3B680 == 'yes')	Did (s)he have any lumps or lesions in the mouth?	Did (s)he have any lumps or lesions in the mouth?		2670
SWE_NECK	true_to_y(id3B670 == 'yes' && id3B690 == 'yes')	Did (s)he have any lumps on the neck?	Did (s)he have any lumps on the neck?		2680
SWE_ARMP	true_to_y(id3B670 == 'yes' && id3B700 == 'yes')	Did (s)he have any lumps on the armpit?	Did (s)he have any lumps on the armpit?		2690
SWE_BREAST	true_to_y(id3B670 == 'yes' && id3B720 == 'yes')	Did she have an ulcer or swelling in the breast?	Did she have any swelling or lump in the breast?		2700
SWE_GEN	true_to_y(id3B670 == 'yes' && id3B710 == 'yes')	Did (s)he have any lumps on the groin?	Did (s)he have any lumps on the groin?		2710
SWE_OTH	true_to_y(id3B650 == 'yes')	Did (s)he have swelling (puffiness) of the face?	Did (s)he have puffiness of the face?		2720
SWE_LEGS	true_to_y(id3B660 == 'yes')	Did (s)he have both feet swollen?	Did (s)he have both feet swollen?		2730
ANAEMIA	true_to_y(id3B770 == 'yes')	Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?	Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?		2740
EXC_DRINK	true_to_y(id3B790 == 'yes')	Did (s)he drink a lot more water than usual?	Did (s)he drink a lot more water than usual?		2750
HAIR	true_to_y(id3B760 == 'yes')	Did her/his hair colour change to reddish or yellowish?	Did her/his hair change in color to a reddish or yellowish color?		2760
PARAL_ONE	true_to_y(id3B730 == 'yes')	Did (s)he have paralysis of one side of the body?	Did s(he have paralysis of only one side of the body?		2770
EYE_SUNK	true_to_y(id3B780 == 'yes')	Did (s)he have sunken eyes?	Did (s)he have sunken eyes?		2780
BL_ORIF	true_to_y(id3B600 == 'yes')	Did (s)he bleed from the nose, mouth or anus?	Did (s)he bleed from the nose, mouth or anus?		2790
VB_BET	true_to_y(id3B800 == 'yes')	Did she have excessive vaginal bleeding in between menstrual periods?	Did she have excessive vaginal bleeding in between menstrual periods?		2800
VB_MEN	true_to_y(id3B810 == 'yes')	Did her vaginal bleeding stopped naturally during menopause?	Did her menstrual period stop naturally because of menopause?		2810
VB_AFTER	true_to_y(id3B820 == 'yes')	Did she had vaginal bleeding after menopause?	Did she have vaginal bleeding after cessation of menstruation?		2820
DIFF_SW	true_to_y(id3B740 == 'yes')	Did (s)he have difficulty or pain while swallowing liquids?	Was the difficulty with swallowing with solids, liquids, or both?		2830
NOT_PREG	true_to_y((id3C110 == 'no' && id3C120 == 'yes') || id3C135 == 'yes')	Was she neither pregnant, nor delivered, within 6 weeks of her death?	Was she pregnant at the time of death?		3000
PREGNANT	true_to_y(id3C110 == 'yes')	Was she pregnant at the time of death?	Was she pregnant at the time of death?		3010
DEL_6WKS	true_to_y(id3C120 == 'yes')	Did she die within 6 weeks of giving birth?	Did she die within 6 weeks of delivery, abortion or miscarriage?		3020
PEND_6W	true_to_y(id3C120 == 'yes' && id3C125 >= 0 && id3C125 < 6)	Did she die 6 weeks within a pregnancy that lasted less than 6 months?	Did she die within 6 weeks of delivery, abortion or miscarriage?		3030
FIRST_P	true_to_y(id3C230 == 0)	Was this the woman's first pregnancy?	How many births, including stillbirths, did she/the mother have before this baby?		3040
MORE4	true_to_y(id3C230 >= 4)	Did she have four or more births, including stillbirths, before this pregnancy?	How many births, including stillbirths, did she/the mother have before this baby?		3050
CS_PREV	true_to_y(id3C240 == 'yes')	Did she have any previous Caesarean section?	Had she had any previous Caesarean section?		3060
MULTIP	true_to_y(id3C215 == 'yes')	Did she die during or after a multiple pregnancy?	Did she die during or after a multiple pregnancy?	WHO ID changed	3070
LAB_24	true_to_y(id3C370 >= 24)	Was she in labour for unusually long (more than 24 hours)?	For how many hours was she in labour?		3080
DIED_LAB	true_to_y(id3C210 == 'yes')	Did she die during labour, but undelivered?	Did she die during labour, and before delivery?		3090
DEATH_24	true_to_y(id3C200 == 'yes')	Did she die within 24 hours after delivery	Did she die within 24 hours after delivery?		3100
BABY_AL	true_to_y(id3C213 == 'yes')	Did she give birth to a live, healthy baby within 6 weeks of death?	Did she give birth to a live baby (within 6 weeks of her death)?	WHO ID changed	3110
BREAST_FD	true_to_y(id3C220 == 'yes')	Was she breastfeeding at death?	Was she breastfeeding the child in the days before death?		3120
DEL_FAC	true_to_y(id3C400 == 'hospital' || id3C400 == 'other_health_facility')	Did she give birth in a health facility?	Where did she give birth?		3130
DEL_HOME	true_to_y(id3C400 == 'home')	Did she give birth at home?	Where did she give birth?		3140
DEL_ELSE	true_to_y(id3C400 == 'on_route_to_hospital_or_facility' || id3C400 == 'other')	Did she give birth elsewhere, e.g. on the way to a facility?	Where did she give birth?		3150
PROF_ASS	true_to_y(id3C430 == 'yes')	Did she receive professional assistance during the delivery?	Did she receive professional assistance during the delivery?		3160
DEL_NORM	true_to_y(id3C450 == 'yes')	Did she have a normal vaginal delivery?	Was the delivery normal vaginal, without forceps or vacuum?		3170
DEL_ASS	true_to_y(id3C460 == 'yes')	Did she have an assisted delivery, with forceps/vacuum?	Was the delivery vaginal, with forceps or vacuum?		3180
DEL_CS	true_to_y(id3C470 == 'yes')	Did she deliver by Caesarean section?	Was the delivery a Caesarean section?		3190
BABY_POS	true_to_y(id3C365 == 'yes')	Did she deliver or try to deliver an abnormally positioned baby?	Did she deliver or try to deliver an abnormally positioned baby?		3200
MON_EARLY	true_to_y(id3C480 == 'yes')	Was the baby born more than one month early?	Was the baby born more than one month early?		3205
HYSTER	true_to_y(id3C480 == 'yes')	Did she have an operation to remove her uterus shortly before death?	Did she have an operation to remove her uterus shortly before death?		3210
BPR_PREG	true_to_y(id3C260 == 'yes')	During pregnancy, did she suffer from high blood pressure?	During pregnancy, did she suffer from high blood pressure?		3220
FIT_PREG	true_to_y(id3C280 == 'yes')	During the last 3 months of pregnancy, did she suffer from convulsions?	During the last 3 months of pregnancy, did she suffer from convulsions?		3230
VIS_BL	true_to_y(id3C290 == 'yes')	During the last 3 months of pregnancy did she suffer from blurred vision?	During the last 3 months of pregnancy did she suffer from blurred vision?		3240
BLEED	true_to_y(id3C310 == 'yes')	Was there excessive vaginal bleeding during pregnancy or after delivery?	Did she have excessive bleeding during pregnancy before labour started?		3250
E_BLEED	true_to_y(id3C320 == 'yes')	Was there vaginal bleeding during the first 6 months of pregnancy?	Was there vaginal bleeding during the first 6 months of pregnancy?		3260
S_BLEED	true_to_y(id3C330 == 'yes')	Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?	Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?		3270
D_BLEED	true_to_y(id3C340 == 'yes')	Was there excessive vaginal bleeding during labour?	Did she have excessive bleeding during labour or delivery?		3280
P_BLEED	true_to_y(id3C350 == 'yes')	Was there excessive vaginal bleeding after delivering the baby?	Did she have excessive bleeding after delivery or abortion?		3290
PLACENT_R	true_to_y(id3C360 == 'yes')	Was the placenta not completely delivered?	Was the placenta completely delivered?		3300
DISCH_SM	true_to_y(id3C270 == 'yes')	Did she have foul smelling vaginal discharge during pregnancy or after delivery?	Did she have foul smelling vaginal discharge during pregnancy or after delivery?		3310
TERM_ATT	true_to_y(id3C380 == 'yes')	Did she attempt to terminate the pregnancy?	Did she attempt to terminate the pregnancy?		3330
ABORT	true_to_y(id3C390 == 'yes')	Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?	Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?		3340
BORN_EARLY	true_to_y(id3D210 >= 0 && id3D210 < 9)	Had the pregnancy lasted less than 34 weeks when the baby was born?	How many months long was the pregnancy before the child was born?	Not accurate since WHO asks for month and InterVA wants Weeks	4000
BORN_3437	true_to_y(id3D210 == 9)	Had the pregnancy lasted between 34 and 37 weeks when the baby was born?	How many months long was the pregnancy before the child was born?	Not accurate since WHO asks for month and InterVA wants Weeks	4010
BORN_38	true_to_y(id3D210 > 9)	Had the pregnancy lasted more than 37 weeks when the baby was born?	How many months long was the pregnancy before the child was born?	Not accurate since WHO asks for month and InterVA wants Weeks	4020
AB_SIZE	true_to_y(id3D180 == 'no')	Was the baby of abnormal size?	At birth, was the baby of usual size?		4030
BORN_SMALL	true_to_y(id3D190 == 'yes')	Was the baby smaller than normal, weighing under 2.5 kg?	At birth, was the baby smaller than usual, (weighing under 2.5 kg)?		4040
BORN_BIG	true_to_y(id3D200 == 'yes')	Was the baby larger than normal, weighing over 4.5 kg?	At birth, was the baby larger than usual, (weighing over 4.5 kg)?		4060
TWIN	true_to_y(id3D100 == 'yes')	Was the child part of a multiple birth?	Was the child part of a multiple  birth?		4070
COMDEL	true_to_y(1==2)	Was the child born in a complicated delivery?		Mapping uncertain	4080
CORD	true_to_y(id3D278 == 'yes')	Was the umbilical cord wrapped several times (more than once) around the neck of the child at birth?	Was the umbilical cord wrapped more than once around the neck of the child at birth?	WHO ID changed	4090
WATERS	true_to_y(id3D253 == 'yes')	Was the baby born 24 hours or more after the water broke?	Was the baby born 24 hours or more after the water broke?	WHO ID changed	4100
MOVE_LB	true_to_y(id3D251 == 'yes')	Did the baby stop moving in the womb before labour started?	Did the baby stop moving in the womb before labour started?	WHO ID changed	4110
CYANOSIS	true_to_y(id3D280 == 'yes')	Was the baby blue in colour at birth?	Was the baby blue in colour at birth?		4120
BABY_BR	true_to_y(id3D300 == 'yes')	Did the baby breathe after birth, even a little?	Did the baby breathe immediately after birth, even a little?		4130
BORN_NOBR	true_to_y(id3D310 == 'yes')	Was the baby given assistance to breathe at birth?	Was the baby given assistance to breathe at birth?		4140
CRIED	true_to_y(id3D290 == 'yes')	Did the baby cry after birth, even if only a little bit?	Did the baby cry immediately after birth, even if only a little bit?		4150
