TARIFF ODK VARNAME;expr;WHO ID;Tariff Question;WHO 2014 Question;Note
Generalmodule-general4-gen_4_4;;WHO_MAPPING_UNAVAILABLE;"4.4: How old are you?</label>
          <hint>Enter 999 if unknown";;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_5;;WHO_MAPPING_UNAVAILABLE;4.5: What was the last level of school you attended?;;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_c;;WHO_MAPPING_UNAVAILABLE;"Instructions to the interviewer: Say to the respondent: &quot;I would now like to ask you some questions about your household. Please remember that all information will be kept confidential.";;
Generalmodule-general4-gen_4_6;;WHO_MAPPING_UNAVAILABLE;"4.6: How many people live at this address?</label>
          <hint>Enter 99 if unknown";;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_7;;WHO_MAPPING_UNAVAILABLE;"4.7: How many rooms are in the household?</label>
          <hint>Enter 99 if unknown";;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_8;;WHO_MAPPING_UNAVAILABLE;4.8: Does the household have a separate room for cooking?;;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_9;;WHO_MAPPING_UNAVAILABLE;4.9: Does the household have: (Mark all that apply);;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_10;;WHO_MAPPING_UNAVAILABLE;4.10: What type of toilet do you have/use?;;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_10a;;WHO_MAPPING_UNAVAILABLE;4.10a: Other toilet (specify);;
Generalmodule-general4-gen_4_11;;WHO_MAPPING_UNAVAILABLE;4.11: What is the main kind of energy you use for cooking?;;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_11a;;WHO_MAPPING_UNAVAILABLE;4.11a: Other (specify);;
Generalmodule-general4-gen_4_12;;WHO_MAPPING_UNAVAILABLE;4.12: Interviewer: What materials are used for the floor of the house? (Mark as observed);;Not available in WHO Questionnaire
Generalmodule-general4-gen_4_12a;;WHO_MAPPING_UNAVAILABLE;4.12a: Other floor (specify);;
Generalmodule-gen_5_a;;WHO_MAPPING_UNAVAILABLE;Questions on the Deceased Section;;
Generalmodule-general5-gen_5_0;paste(id1A100a,id1A100b);WHO_MAPPING_UNAVAILABLE;What was the name of the deceased?;;Append two fields id1A100a / id1A100b (firstname/familyname)
Generalmodule-general5-birthDate-gen_5_1a;substr(id1A210,0,4);id1A210;What year was the deceased born? Enter Four Digit Year. Enter 999 if unknown.;When was the deceased born?;Substring
Generalmodule-general5-birthDate-gen_5_1b;substr(id1A210,6,7);id1A210;What month was the deceased born? Enter Month (January = 1). Enter 99 if unknown.;When was the deceased born?;Substring
Generalmodule-general5-birthDate-gen_5_1c;substr(id1A210,9,10);id1A210;What day of the month was the deceased born? Enter Day (1-31). Enter 99 if unknown.;When was the deceased born?;Substring
Generalmodule-general5-gen_5_2;mapCode(c('male','female'),c(1,2),'id1A110');id1A110;What was the sex of the deceased?;What was the sex of the deceased?;Mapping of values was required: 1 = Male, 2 = Female, 8 = Don't know, 9 = Refused to answer
Generalmodule-general5-deathDate-gen_5_3a;substr(id1A230,0,4);id1A230;What year did the deceased die? Enter Four Digit Year. Enter 999 if unknown.;When did (s)he die?;Substring
Generalmodule-general5-deathDate-gen_5_3b;substr(id1A230,6,7);id1A230;What month did the deceased die? Enter Month (January = 1). Enter 99 if unknown.;When did (s)he die?;Substring
Generalmodule-general5-deathDate-gen_5_3c;substr(id1A230,9,10);id1A230;What day of the month did the deceased die? Enter Day (1-31). Enter 99 if unknown.;When did (s)he die?;Substring
Generalmodule-general5-qAgeInfo-gen_5_4;;WHO_MAPPING_UNAVAILABLE;What was the last known age of the deceased? Less than 24 hours = 0 days.;;No appropriate WHO mapping found. Set value to 9 (Don't know)
Generalmodule-general5-qAgeInfo-gen_5_4a;;WHO_MAPPING_UNAVAILABLE;Years - if one year or older;;No appropriate WHO mapping found
Generalmodule-general5-qAgeInfo-gen_5_4b;;WHO_MAPPING_UNAVAILABLE;Months - if less than one year;;No appropriate WHO mapping found
Generalmodule-general5-qAgeInfo-gen_5_4c;;WHO_MAPPING_UNAVAILABLE;Days - if less than one month;;No appropriate WHO mapping found.
Generalmodule-general5-qAgeInfo-yearsfill;ageInYears;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found. Set to 0
Generalmodule-general5-qAgeInfo-monthsfill;ageInMonths;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found. Set to 0
Generalmodule-general5-qAgeInfo-daysfill;ageInDays;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found. Set to 0
Generalmodule-general5-qAgeInfo-agehours;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found. Set to 0.
Generalmodule-general5-qAgeInfo-agedays;ageInDays;ageInDays;;;
Generalmodule-general5-qAgeInfo-ageweeks;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-qAgeInfo-agemonths;ageInMonths;ageInMonths;;;
Generalmodule-general5-qAgeInfo-ageyears;ageInYears;ageInYears;;;
Generalmodule-general5-general6-gen_5_4d;mapCode(c('neonate','child','adult'),c(1,2,3),'age_group');age_group;What age group does the deceased's last known age fall into?;What age group corresponds to the deceased?;Different ids of selected values. Mapping values required. age_group can be empty
Generalmodule-general5-general6-qageCheck-gen_5_4e;;;No age has been provided or age group selected. Please go back and select an age group or thank the respondent for his/her time and end the interview.;;This is a note.
Generalmodule-general5-general6-UKagehoursN;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found. Less than 28 days old
Generalmodule-general5-general6-UKagedaysN;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKageweeksN;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKagemonthsN;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKageyearsN;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKagehoursC;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found. 28 days - 11 years
Generalmodule-general5-general6-UKagedaysC;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKageweeksC;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKagemonthsC;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKageyearsC;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKagehoursA;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKagedaysA;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKagemonthsA;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-general6-UKageyearsA;;WHO_MAPPING_UNAVAILABLE;;;No appropriate WHO mapping found
Generalmodule-general5-gen_5_5;mapCode(c('married','divorced','widowed','DK','Ref'),c(2,4,5,9,8),'id1A600');id1A600;5.5: What was the marital status of deceased?;What was her/his marital status?;id1A600 can be empty
Generalmodule-general5-gen_5_6;mapCode(c('no_formal_education','primary_school','secondary_school','higher_than_secondary_school','DK'),c(1,2,3,4,9),'id1A640');id1A640;5.6: What was the last known level of education of deceased?;What was her/his highest level of schooling?;Mapping of values was required.
Generalmodule-general5-gen_5_7;;WHO_MAPPING_UNAVAILABLE;5.7: INTERVIEWER: Are there other people present during the interview?;;No appropriate WHO mapping found. Set value to 0 (no)
Generalmodule-general5-gen_5_8;;;5.8: How many people are present during the interview?;;No appropriate WHO mapping found. Skipped if previous entry is 0.
Generalmodule-general5-gen_5_9;;;5.9: What is the relationship of others present to the deceased?;;
Generalmodule-general5-gen_5_9a;;;5.9a: Specify other male;;
Generalmodule-general5-gen_5_9b;;;5.9b: Specify other female;;
Generalmodule-general5-gen_5_b;;;INTERVIEWER: For each person present during the interview, determine their relationship to the deceased and mark whether the person was present during the illness and/or present at death.;;
Generalmodule-general5-gen_5_91;;;5.91: Mother present during illness;;
Generalmodule-general5-gen_5_92;;;5.92: Mother present at death;;
Generalmodule-general5-gen_5_93;;;5.93: Father present during illness;;
Generalmodule-general5-gen_5_94;;;5.94: Father present at death;;
Generalmodule-general5-gen_5_95;;;5.95: Aunt present during illness;;
Generalmodule-general5-gen_5_96;;;5.96: Aunt present at death;;
Generalmodule-general5-gen_5_97;;;5.97: Uncle present during illness;;
Generalmodule-general5-gen_5_98;;;5.98: Uncle present at death;;
Generalmodule-general5-gen_5_99;;;5.99: Grandmother present during illness;;
Generalmodule-general5-gen_5_910;;;5.910: Grandmother present at death;;
Generalmodule-general5-gen_5_911;;;5.911: Grandfather present during illness;;
Generalmodule-general5-gen_5_912;;;5.912: Grandfather present at death;;
Generalmodule-general5-gen_5_913;;;5.913: Husband present during illness;;
Generalmodule-general5-gen_5_914;;;5.914: Husband present at death;;
Generalmodule-general5-gen_5_915;;;5.915: Wife present during illness;;
Generalmodule-general5-gen_5_916;;;5.916: Wife present at death;;
Generalmodule-general5-gen_5_917;;;5.917: Brother present during illness;;
Generalmodule-general5-gen_5_918;;;5.918: Brother present at death;;
Generalmodule-general5-gen_5_919;;;5.919: Sister present during illness;;
Generalmodule-general5-gen_5_920;;;5.920: Sister present at death;;
Generalmodule-general5-gen_5_921;;;5.921: Traditional Birth Attendant present during illness;;
Generalmodule-general5-gen_5_922;;;5.922: Traditional Birth Attendant present at death;;
Generalmodule-general5-gen_5_923;;;5.923: Other male present during illness;;
Generalmodule-general5-gen_5_924;;;5.924: Other male present at death;;
Generalmodule-general5-gen_5_925;;;5.925: Other female present during illness;;
Generalmodule-general5-gen_5_926;;;5.926: Other female present at death;;
childModule-child_1_a;;;Neonatal and Child Module: Background Section;;
childModule-Child1-child_1_1;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D100');;Was the deceased a singleton or multiple birth? If two or more children are born at the same time, it is counted as a multiple birth, even if one or more of the babies are born dead.;Was the child part of a multiple  birth?;Mapping of values was required.
childModule-Child1-child_1_2;mapCode(c('first','second_or_later'),c(1,2),'id3D102');id3D102;Was this the first, second, or later in the birth order? ;Was the child the first, second, or later in the birth order?;Mapping of values was required. 3 = Third or later not available in WHO Questionnaire
childModule-Child1-child_1_3;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D104');id3D104;Is the mother still alive?;Is the mother still alive?;Mapping of values was required.
childModule-Child1-child_1_3a;;;1.3a: Is the mother present?;;
childModule-Child1-child_1_4;mapCode(c('during_delivery','after_delivery'),c(1,2),'id3D106');id3D106;Did the mother die during or after the delivery?;Did the mother die during or after the delivery?;Mapping of values was required.
childModule-Child1-motherDieDuringAfterDeliveryGroup-child_1_5;2;WHO_MAPPING_UNAVAILABLE;How long after the delivery did the mother die?;;2 = month, 4 = days. Needs mapping.
childModule-Child1-motherDieDuringAfterDeliveryGroup-child_1_5a;id3D108a;id3D108a;Days;How many months after the delivery did the mother die?;
childModule-Child1-motherDieDuringAfterDeliveryGroup-child_1_5b;id3D108b;id3D108b;Months;How many days after the delivery did the mother die?;
childModule-Child1-child_1_6;mapCode(c('hospital','other_health_facility','home','on_route_to_hospital_or_facility','other','DK','Ref'),c(1,2,4,3,5,9,8),'id3D155');id3D155;Where was the deceased born?;Where was the deceased born?;Mapping of values was required.
childModule-Child1-child_1_6a;;WHO_MAPPING_UNAVAILABLE;Where was the deceased born? [other location, specified];;No appropriate mapping found
childModule-Child1-child_1_7;yesToCode(c('id3D180','id3D190','id3D195','id3D200'),c(3,2,1,4),'9');;"At the time of the delivery what was the size of the deceased? (Read the question and slowly read the first 4 choices. Respondent should hear all four choices and then respond.) Pictured above from left to right: very small, 2 small, and average newborns (no large newborn pictured)
For reference: &lt;1 kg = very small, 1-2.5 kg = small, 2.5- 4 kg = average; &gt;4 kg = large";At birth, was the baby of usual size?;Mapping unclear. id3D190 = At birth, was the baby smaller than usual, (weighing under 2.5 kg)?, id3D200 = At birth, was the baby larger than usual, (weighing over 4.5 kg)?, Set to 9 for now.
childModule-Child1-birthWeightDetails-child_1_8;1;;What was the weight of the deceased at birth?;WHO_MAPPING_UNAVAILABLE;1 = Grams, 2 = Kilograms
childModule-Child1-birthWeightDetails-child_1_8a;id3D201;id3D201;Grams;What was the weight (in grammes) of the deceased at birth?;
childModule-Child1-birthWeightDetails-child_1_8b;;;Kilograms;WHO_MAPPING_UNAVAILABLE;
childModule-Child1-child_1_11;;;Was the child born alive or dead?;WHO_MAPPING_UNAVAILABLE;Mapped to id3D320
childModule-Child1-child_1_12;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D285');id3D285;Did the baby ever cry? ;Did the baby ever cry?;Mapping of values was required.
childModule-Child1-child_1_13;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D298');id3D298;Did the baby ever move?;Did the baby ever move?;Mapping of values was required.
childModule-Child1-child_1_14;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D299');id3D299;Did the baby ever breathe?;Did the baby ever breathe?;Mapping of values was required.
childModule-Child1-child_1_15;0;id3D320;Decedent never cried, moved or breathed. (If all three previous responses are “No” then check “Yes” below. Otherwise, check “No.”);If the baby didn't show any sign of life, was it born dead?;No appropriate mapping found
childModule-Child1-child_1_b;;;Because the baby never cried, moved, or breathed, this was a stillbirth.;;This is a note, no mapping required.
childModule-Child1-child_1_c;;;Because the baby was too old or because the baby either cried, moved, or breathed, this was not a stillbirth.;;This is a note, no mapping required.
childModule-Child1-child_1_16;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D325');id3D325;Were there any bruises or signs of injury on the baby's body at birth? ;Were there any bruises or signs of injury on child's body after the birth?;Mapping of values was required.
childModule-Child1-child_1_17;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D330');id3D330;Was the baby's body (skin and tissue) pulpy? ;Was the dead baby macerated, that is, showed signs of decay?;Mapped to id3D330
childModule-Child1-child_1_18;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D230');id3D230;Was any part of the baby physically abnormal at time of delivery? ;Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?;Mapping of values was required.
childModule-Child1-child_1_19;yesToCode(c('id3D240','id3D241','id3D242'),c(3,2,1),'');id3D240;What were the abnormalities? (Mark all that apply);Did the baby/ child have a swelling or defect on the back?;id3D241 = Did the baby/ child have a very large head?, id3D242 = Did the baby/ child have a very small head? Needs mapping.
childModule-Child1-child_1_19a;;WHO_MAPPING_UNAVAILABLE;What were the abnormalities? [other abnormality, specified];;No appropriate mapping found
childModule-Child1-ageIllnessStartDetails-child_1_20;;;How old was the baby/child when the fatal illness started?;;1 = Years, 2 = Month, 4 = Days. Needs mapping.
childModule-Child1-ageIllnessStartDetails-child_1_20a;id3D070;id3D070;Days;How old was the baby when the fatal illness started?;id3D090 = How many years old was the child when the fatal illness started? (for child)
childModule-Child1-ageIllnessStartDetails-child_1_20b;;WHO_MAPPING_UNAVAILABLE;Months;;No appropriate mapping found
childModule-Child1-ageIllnessStartDetails-child_1_20c;id3D090;id3D090;Years;How many years old was the child when the fatal illness started?;Convert from Date
childModule-Child1-illnessDurationDetails-child_1_21;;WHO_MAPPING_UNAVAILABLE;How long did the illness last? ;;No appropriate mapping found
childModule-Child1-illnessDurationDetails-child_1_21a;;WHO_MAPPING_UNAVAILABLE;Days;;No appropriate mapping found
childModule-Child1-illnessDurationDetails-child_1_21b;;WHO_MAPPING_UNAVAILABLE;Months;;No appropriate mapping found
childModule-Child1-child_1_22;mapCode(c('hospital','other_health_facility','home','on_route_to_hospital_or_facility','other','DK','Ref'),c(1,2,4,3,5,9,8),'id1A560');id1A560;Where did the deceased die?;Where did the deceased die?;Mapping of values was required.
childModule-Child1-child_1_22a;;WHO_MAPPING_UNAVAILABLE;Where did the deceased die? [other, specified];;No appropriate mapping found
childModule-Child1-child_1_23;;WHO_MAPPING_UNAVAILABLE;1.23: For deaths at a hospital or health facility, record facility name and address:;;No appropriate mapping found
childModule-child_2_a;;;Maternal History Section;;This is a note.
childModule-Child2-child_2_1;yesToCode(c('id3D273','id3D269','id3D277','id3D278','id3D276'),c(1,2,5,7,8),10);id3D215;Was the late part of the pregnancy (defined as the last 3 months), labor, or delivery complicated by any of the following problems?;Were there any complications in the late part of the pregnancy (defined as the last 3 months, before labour)?;No appropriate direct mapping found. Need splitting up. Couldnt find mapping for all values (anemia, diabetes, cord first, fever)
childModule-Child2-child_2_2;;;How many months long was the pregnancy?;;2 = month
childModule-Child2-child_2_2a;id3D210;id3D210;Months;For how many months was she pregnant?;This variable is used for Adult female, not child/neonatal
childModule-Child2-child_2_3;;WHO_MAPPING_UNAVAILABLE;2.3: Did the pregnancy end early, on time, or late?;;No appropriate mapping found
childModule-Child2-child_2_4;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D251');id3D251;2.4: Was the baby moving in the last few days before the birth? ;Did the baby stop moving in the womb before labour started?;Mapping of values was required.
childModule-Child2-child_2_5;;WHO_MAPPING_UNAVAILABLE;When did you (the mother) last feel the baby move? ;;No direct mapping. 4 = days, 5 = hours. Set to 9 (DK) for now.
childModule-Child2-child_2_5a;id3D251b;id3D251b;Hours before delivery;How many hours before labour did you or the mother last feel the baby move? (maybe the repondent or health worker had examined the mother);
childModule-Child2-child_2_5b;id3D251a;id3D251a;Days before delivery;How many days before labour did you or the mother last feel the baby move? (maybe the repondent or health worker had examined the mother);
childModule-Child2-child_2_6;;WHO_MAPPING_UNAVAILABLE;"2.6: Did the water break before labor or during labor?</label>
          <hint>Note: labor begins when contractions are no more than 10 minutes apart.";;No appropriate mapping found
childModule-Child2-child_2_7;;WHO_MAPPING_UNAVAILABLE;2.7: How much time before labor did the water break?;;No appropriate mapping found
childModule-Child2-child_2_8;mapCode(c('green_or_brown','clear','other','dk','ref'),c(1,2,3,9,8),'id3D255');id3D255;2.8: What was the color of the liquor when the water broke?;;Mapping found in updated WHO instrument Feb 2016
childModule-Child2-child_2_8a;;WHO_MAPPING_UNAVAILABLE;2.8a: What was the color of the liquor when the water broke? [other color, specified];;No appropriate mapping found
childModule-Child2-child_2_9;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D254');id3D254;Was the liquor foul smelling?;Was the liquor foul smelling?;Mapping of values was required.
childModule-Child2-child_2_10;5;;2.10: How much time did the labor and delivery take?;;Set to 5 for hours.
childModule-Child2-child_2_10a;id3D252;id3D252;2.10a: Hours;;Mapping updated with new question introduced in updated WHO questionnaire Feb 2016.
childModule-Child2-child_2_11;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D261');id3D261;Did you (the mother) receive any vaccinations since reaching adulthood including during this pregnancy?;Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?;Mapping of values was required.
childModule-Child2-child_2_12;id3D263;id3D263;How many doses? ;How many doses?;No direct mapping found. Set to 9 for DK.
childModule-Child2-child_2_15;;WHO_MAPPING_UNAVAILABLE;"2.15: Who delivered the baby?</label>
          <hint>Read &quot;the mother&quot; if the mother is not the respondent.";;No appropriate mapping found. Set to 9 for DK.
childModule-Child2-child_2_15a;;WHO_MAPPING_UNAVAILABLE;2.15a: Who delivered the baby? [other person, specified];;
childModule-Child2-child_2_16;;WHO_MAPPING_UNAVAILABLE;2.16: If nurse/midwife in the community, record her name and address:;;
childModule-Child2-child_2_17;yesToCode(c('id3C450','id3C460','id3C470'),c(1,2,4),9);id3C450;Was the delivery … ? ;Was the delivery normal vaginal, without forceps or vacuum?;No direct mapping found. id3C460 = Was the delivery vaginal, with forceps or vacuum?, id3C470 = Was the delivery a Caesarean section? Needs splitting.
childModule-Child2-child_2_18;;WHO_MAPPING_UNAVAILABLE;"2.18: During labor but before delivery, did you (the mother) receive any kind of injection?</label>
          <hint>Read “the mother” if the mother is not the respondent.</hint>";;No appropriate mapping found. Set to 9 for DK.
childModule-child_3_a;;;Neonatal Deaths Section;;
childModule-Child3-child_3_1;;WHO_MAPPING_UNAVAILABLE;3.1: Were there any bruises or signs of injury on the baby's body at birth?;;Would be id3D325 but that is only asked for stillbirths in WHO VA. So set to 9 for now.
childModule-Child3-child_3_2;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D230');id3D230;Was any part of the baby physically abnormal at time of delivery?;Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?;Mapping of values was required.
childModule-Child3-child_3_3;yesToCode(c('id3D240','id3D241','id3D242'),c(3,2,1),'');WHO_MAPPING_UNAVAILABLE;What were the abnormalities?  (Mark all that apply);;No direct mapping found. id3D240 = Did the baby/ child have a swelling or defect on the back?, id3D241 = Did the baby/ child have a very large head?, id3D242 = Did the baby/ child have a very small head?. Needs splitting
childModule-Child3-child_3_3a;;WHO_MAPPING_UNAVAILABLE;What were the abnormalities? [other abnormality, specified];;No appropriate mapping found
childModule-Child3-child_3_4;yesToCode(c('id3D300'),c(1),9);id3D300;Did the baby breathe immediately after birth?;Did the baby breathe immediately after birth, even a little?;Mapping of values was required.
childModule-Child3-child_3_5;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D305');id3D305;Did the baby have difficulty breathing?;Did the baby have a breating problem?;Mapping of values was required.
childModule-Child3-child_3_6;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D310');id3D310;Was anything done to try to help the baby breathe at birth? ;Was the baby given assistance to breathe at birth?;Mapping of values was required.
childModule-Child3-child_3_7;yesToCode(c('id3D290'),c(1),9);id3D290;Did the baby cry immediately after birth? ;Did the baby cry immediately after birth, even if only a little bit?;Mapping of values was required.
childModule-Child3-child_3_8;rangeToCode(c(0,5,30,9999),c(1,2,3),9,'id3D292');id3D292;How long after birth did the baby first cry?  (MARK ONE);How many minutes after birth did the baby first cry?;No direct mapping found. 1 = Within 5 minutes, 2 = Within 6-30 minutes, 3 = More than 30 minutes, 4 = never. Needs thresholding from integer
childModule-Child3-child_3_9;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D294');id3D294;Did the baby stop being able to cry? ;Did the baby stop being able to cry?;Mapping of values was required.
childModule-Child3-child_3_10;rangeToCode(c(0,23,9999),c(1,2),9,'id3D296');id3D296;How long before the baby died did the baby stop crying? ;How many hours before death did the baby stop crying?;No direct mapping found. 1 = Less than on day, 2 = One day or more. Needs thresholding from integer
childModule-Child3-child_3_11;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D340');id3D340;3.11: Was the baby able to suckle in a normal way during the first day of life?;Was the baby able to suckle or bottle-feed within the first 24 hours after birth?;Mapping of values was required.
childModule-Child3-child_3_12;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D342');id3D342;Did the baby ever suckle in a normal way? ;;Mapping found in updated WHO Instrument from Feb 2016
childModule-Child3-child_3_13;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3D345');id3D345;3.13: Did the baby stop being able to suckle in a normal way?;Did the baby stop suckling?;Mapping of values was required.
childModule-Child3-child_3_14;;;"3.14: How long after birth did the baby stop suckling?</label>
          <hint>Less than 1 day= “0”.</hint>";;4 = Days
childModule-Child3-child_3_14a;id3D350;id3D350;3.14a: Days;How many days after birth did the baby stop suckling?;
childModule-Child3-child_3_15;;WHO_MAPPING_UNAVAILABLE;3.15: How long before he/she died did the baby stop suckling?;;No appropriate mapping found. Set to 9 for DK.
childModule-Child3-child_3_16;;WHO_MAPPING_UNAVAILABLE;3.16: Was the baby able to open his/her mouth at the time he/she stopped suckling?;;No appropriate mapping found. Set to 9 for DK.
childModule-Child3-child_3_17;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3B180');id3B180;During the illness that led to death, did the baby have difficult breathing? ;Did (s)he have any breathing difficulty?;Mapping of values was required.
childModule-Child3-child_3_18;;WHO_MAPPING_UNAVAILABLE;"3.18: At what age did the difficult breathing start?</label>
          <hint>Less than 1 day= “0”.</hint>";;No appropriate mapping found. Set to 9 for DK.
childModule-Child3-child_3_18a;;WHO_MAPPING_UNAVAILABLE;3.18a: Days;;No appropriate mapping found. 
childModule-Child3-breathing_dif;;;;;
childModule-Child3-child_3_19;;;For how many days did the difficult breathing last?;;4 = days
childModule-Child3-child_3_19a;id3B244;id3B244;Days;For how many days did the difficulty breathing last?;
childModule-Child3-child_3_20;mapCode(c('yes','no','dk','ref'),c(1,0,9,8),'id3B190');;During the illness that led to death, did the baby have fast breathing? ;During the illness that led to death, did (s)he have fast breathing?;Mapping of values was required.
