target variable;mapping;Question;Question;Note;InterVA4
herpes;true_to_y(id3B530 == 'yes' && id3B590 == 'yes');Did (s)he ever have shingles or herpes zoster?;Did (s)he ever have shingles or herpes zoster?;;2480
stiff_neck;true_to_y(id3B405 == 'yes' || id3B409 == 'yes');Did (s)he have a stiff or painful neck?;Did (s)he have a stiff neck during illness that led to death?;;2490
ac_stnk;true_to_y((id3B405 == 'yes' || id3B409 == 'yes') && ((id3B407 >= 0 && id3B407 < 7) || (id3B410 >= 0 && id3B410 < 7)));Did (s)he have a stiff or painful neck for less than 1 week?;For how many days before death did (s)he have stiff neck?;;2500
ch_stnk;true_to_y((id3B405 == 'yes' || id3B409 == 'yes') && (id3B407 >= 7 || id3B410 >= 7));Did (s)he have a stiff or painful neck for 1 week or more?;For how many days before death did (s)he have stiff neck?;;2510
coma;true_to_y(id3B440 == 'yes');Was (s)he unconscious for more than 24 hours before death?;Was (s)he unconscious for more than 24 hours before death?;;2520
co_ons;true_to_y(id3B440 == 'yes' && id3B450 == 'yes');Did the unconsciousness start suddenly (at least within a single day)?;Did the unconsciousness start suddenly, quickly (at least within a single day)?;;2530
convul;true_to_y(id3B460 == 'yes');Did (s)he have convulsions?;Did (s)he have convulsions?;;2540
ac_conv;true_to_y(id3B460 == 'yes' && id3B470 >= 0 && id3B470 < 10);Did the convulsions last for less than 10 minutes;For how many minutes did the convulsions last?;;2550
ch_conv;true_to_y(id3B460 == 'yes' && id3B470 >= 10);Did the convulsions last for 10 minutes or more?;For how many minutes did the convulsions last?;;2560
unc_con;true_to_y(id3B460 == 'yes' && id3B480 == 'yes');Did (s)he become unconscious immediately after the convulsion?;Did (s)he become unconscious immediately after the convulsion?;;2570
urine;true_to_y(id3B490 == 'yes');Did (s)he have any urine problems?;Did (s)he have any urine problems?;;2580
uri_ret;true_to_y(id3B490 == 'yes' && id3B500 == 'yes');Did (s)he pass no urine at all?;Did (s)he pass no urine at all?;;2590
exc_urine;true_to_y(id3B490 == 'yes' && id3B510 == 'yes');Did (s)he go to urinate more often than usual?;Did (s)he go to urinate more often than usual?;;2600
uri_haem;true_to_y(id3B490 == 'yes' && id3B520 == 'yes');During the final illness did (s)he ever pass blood in the urine?;During the final illness did (s)he ever pass blood in the urine?;;2610
wt_loss;true_to_y(id3B610 == 'yes');Did (s)he have noticeable weight loss?;Did (s)he have noticeable weight loss?;;2620
wasting;true_to_y(id3B610 == 'yes' && id3B620 == 'yes');Was (s)he severely thin or wasted?;Was (s)he severely thin or wasted?;;2630
or_cand;true_to_y(id3B630 == 'yes');Did (s)he have mouth sores or white patches in the mouth or on the tongue?;During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?;;2640
rigidity;true_to_y(id3B640 == 'yes');Did (s)he have stiffness of the whole body or was unable to open the mouth?;Did (s)he have stiffness of the whole body or was unable to open the mouth?;;2650
swell;true_to_y(id3B670 == 'yes');Did (s)he have any lumps?;Did (s)he have any lumps?;;2660
swe_oral;true_to_y(id3B670 == 'yes' && id3B680 == 'yes');Did (s)he have any lumps or lesions in the mouth?;Did (s)he have any lumps or lesions in the mouth?;;2670
swe_neck;true_to_y(id3B670 == 'yes' && id3B690 == 'yes');Did (s)he have any lumps on the neck?;Did (s)he have any lumps on the neck?;;2680
swe_armp;true_to_y(id3B670 == 'yes' && id3B700 == 'yes');Did (s)he have any lumps on the armpit?;Did (s)he have any lumps on the armpit?;;2690
swe_breast;true_to_y(id3B670 == 'yes' && id3B720 == 'yes');Did she have an ulcer or swelling in the breast?;Did she have any swelling or lump in the breast?;;2700
swe_gen;true_to_y(id3B670 == 'yes' && id3B710 == 'yes');Did (s)he have any lumps on the groin?;Did (s)he have any lumps on the groin?;;2710
swe_oth;true_to_y(id3B650 == 'yes');Did (s)he have swelling (puffiness) of the face?;Did (s)he have puffiness of the face?;;2720
swe_legs;true_to_y(id3B660 == 'yes');Did (s)he have both feet swollen?;Did (s)he have both feet swollen?;;2730
anaemia;true_to_y(id3B770 == 'yes');Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?;Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?;;2740
exc_drink;true_to_y(id3B790 == 'yes');Did (s)he drink a lot more water than usual?;Did (s)he drink a lot more water than usual?;;2750
hair;true_to_y(id3B760 == 'yes');Did her/his hair colour change to reddish or yellowish?;Did her/his hair change in color to a reddish or yellowish color?;;2760
paral_one;true_to_y(id3B730 == 'yes');Did (s)he have paralysis of one side of the body?;Did s(he have paralysis of only one side of the body?;;2770
eye_sunk;true_to_y(id3B780 == 'yes');Did (s)he have sunken eyes?;Did (s)he have sunken eyes?;;2780
bl_orif;true_to_y(id3B600 == 'yes');Did (s)he bleed from the nose, mouth or anus?;Did (s)he bleed from the nose, mouth or anus?;;2790
vb_bet;true_to_y(id3B800 == 'yes');Did she have excessive vaginal bleeding in between menstrual periods?;Did she have excessive vaginal bleeding in between menstrual periods?;;2800
vb_men;true_to_y(id3B810 == 'yes');Did her vaginal bleeding stopped naturally during menopause?;Did her menstrual period stop naturally because of menopause?;;2810
vb_after;true_to_y(id3B820 == 'yes');Did she had vaginal bleeding after menopause?;Did she have vaginal bleeding after cessation of menstruation?;;2820
diff_sw;true_to_y(id3B740 == 'yes');Did (s)he have difficulty or pain while swallowing liquids?;Was the difficulty with swallowing with solids, liquids, or both?;;2830
not_preg;true_to_y((id3C110 == 'no' && id3C120 == 'yes') || id3C135 == 'yes');Was she neither pregnant, nor delivered, within 6 weeks of her death?;Was she pregnant at the time of death?;;3000
pregnant;true_to_y(id3C110 == 'yes');Was she pregnant at the time of death?;Was she pregnant at the time of death?;;3010
del_6wks;true_to_y(id3C120 == 'yes');Did she die within 6 weeks of giving birth?;Did she die within 6 weeks of delivery, abortion or miscarriage?;;3020
pend_6w;true_to_y(id3C120 == 'yes' && id3C125 >= 0 && id3C125 < 6);Did she die 6 weeks within a pregnancy that lasted less than 6 months?;Did she die within 6 weeks of delivery, abortion or miscarriage?;;3030
first_p;true_to_y(id3C230 == 0);Was this the woman's first pregnancy?;How many births, including stillbirths, did she/the mother have before this baby?;;3040
more4;true_to_y(id3C230 >= 4);Did she have four or more births, including stillbirths, before this pregnancy?;How many births, including stillbirths, did she/the mother have before this baby?;;3050
cs_prev;true_to_y(id3C240 == 'yes');Did she have any previous Caesarean section?;Had she had any previous Caesarean section?;;3060
multip;true_to_y(id3C215 == 'yes');Did she die during or after a multiple pregnancy?;Did she die during or after a multiple pregnancy?;WHO ID changed;3070
lab_24;true_to_y(id3C370 >= 24);Was she in labour for unusually long (more than 24 hours)?;For how many hours was she in labour?;;3080
died_lab;true_to_y(id3C210 == 'yes');Did she die during labour, but undelivered?;Did she die during labour, and before delivery?;;3090
death_24;true_to_y(id3C200 == 'yes');Did she die within 24 hours after delivery;Did she die within 24 hours after delivery?;;3100
baby_al;true_to_y(id3C213 == 'yes');Did she give birth to a live, healthy baby within 6 weeks of death?;Did she give birth to a live baby (within 6 weeks of her death)?;WHO ID changed;3110
breast_fd;true_to_y(id3C220 == 'yes');Was she breastfeeding at death?;Was she breastfeeding the child in the days before death?;;3120
del_fac;true_to_y(id3C400 == 'hospital' || id3C400 == 'other_health_facility');Did she give birth in a health facility?;Where did she give birth?;;3130
del_home;true_to_y(id3C400 == 'home');Did she give birth at home?;Where did she give birth?;;3140
del_else;true_to_y(id3C400 == 'on_route_to_hospital_or_facility' || id3C400 == 'other');Did she give birth elsewhere, e.g. on the way to a facility?;Where did she give birth?;;3150
prof_ass;true_to_y(id3C430 == 'yes');Did she receive professional assistance during the delivery?;Did she receive professional assistance during the delivery?;;3160
del_norm;true_to_y(id3C450 == 'yes');Did she have a normal vaginal delivery?;Was the delivery normal vaginal, without forceps or vacuum?;;3170
del_ass;true_to_y(id3C460 == 'yes');Did she have an assisted delivery, with forceps/vacuum?;Was the delivery vaginal, with forceps or vacuum?;;3180
del_cs;true_to_y(id3C470 == 'yes');Did she deliver by Caesarean section?;Was the delivery a Caesarean section?;;3190
baby_pos;true_to_y(id3C365 == 'yes');Did she deliver or try to deliver an abnormally positioned baby?;Did she deliver or try to deliver an abnormally positioned baby?;;3200
mon_early;true_to_y(id3C480 == 'yes');Was the baby born more than one month early?;Was the baby born more than one month early?;;3205
hyster;true_to_y(id3C480 == 'yes');Did she have an operation to remove her uterus shortly before death?;Did she have an operation to remove her uterus shortly before death?;;3210
bpr_preg;true_to_y(id3C260 == 'yes');During pregnancy, did she suffer from high blood pressure?;During pregnancy, did she suffer from high blood pressure?;;3220
fit_preg;true_to_y(id3C280 == 'yes');During the last 3 months of pregnancy, did she suffer from convulsions?;During the last 3 months of pregnancy, did she suffer from convulsions?;;3230
vis_bl;true_to_y(id3C290 == 'yes');During the last 3 months of pregnancy did she suffer from blurred vision?;During the last 3 months of pregnancy did she suffer from blurred vision?;;3240
bleed;true_to_y(id3C310 == 'yes');Was there excessive vaginal bleeding during pregnancy or after delivery?;Did she have excessive bleeding during pregnancy before labour started?;;3250
e_bleed;true_to_y(id3C320 == 'yes');Was there vaginal bleeding during the first 6 months of pregnancy?;Was there vaginal bleeding during the first 6 months of pregnancy?;;3260
s_bleed;true_to_y(id3C330 == 'yes');Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?;Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?;;3270
d_bleed;true_to_y(id3C340 == 'yes');Was there excessive vaginal bleeding during labour?;Did she have excessive bleeding during labour or delivery?;;3280
p_bleed;true_to_y(id3C350 == 'yes');Was there excessive vaginal bleeding after delivering the baby?;Did she have excessive bleeding after delivery or abortion?;;3290
placent_r;true_to_y(id3C360 == 'yes');Was the placenta not completely delivered?;Was the placenta completely delivered?;;3300
disch_sm;true_to_y(id3C270 == 'yes');Did she have foul smelling vaginal discharge during pregnancy or after delivery?;Did she have foul smelling vaginal discharge during pregnancy or after delivery?;;3310
term_att;true_to_y(id3C380 == 'yes');Did she attempt to terminate the pregnancy?;Did she attempt to terminate the pregnancy?;;3330
abort;true_to_y(id3C390 == 'yes');Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?;Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?;;3340
born_early;true_to_y(id3D210 >= 0 && id3D210 < 9);Had the pregnancy lasted less than 34 weeks when the baby was born?;How many months long was the pregnancy before the child was born?;Not accurate since WHO asks for month and InterVA wants Weeks;4000
born_3437;true_to_y(id3D210 == 9);Had the pregnancy lasted between 34 and 37 weeks when the baby was born?;How many months long was the pregnancy before the child was born?;Not accurate since WHO asks for month and InterVA wants Weeks;4010
born_38;true_to_y(id3D210 > 9);Had the pregnancy lasted more than 37 weeks when the baby was born?;How many months long was the pregnancy before the child was born?;Not accurate since WHO asks for month and InterVA wants Weeks;4020
ab_size;true_to_y(id3D180 == 'no');Was the baby of abnormal size?;At birth, was the baby of usual size?;;4030
born_small;true_to_y(id3D190 == 'yes');Was the baby smaller than normal, weighing under 2.5 kg?;At birth, was the baby smaller than usual, (weighing under 2.5 kg)?;;4040
born_big;true_to_y(id3D200 == 'yes');Was the baby larger than normal, weighing over 4.5 kg?;At birth, was the baby larger than usual, (weighing over 4.5 kg)?;;4060
twin;true_to_y(id3D100 == 'yes');Was the child part of a multiple birth?;Was the child part of a multiple  birth?;;4070
comdel;true_to_y(1==2);Was the child born in a complicated delivery?;;Mapping uncertain;4080
cord;true_to_y(id3D278 == 'yes');Was the umbilical cord wrapped several times (more than once) around the neck of the child at birth?;Was the umbilical cord wrapped more than once around the neck of the child at birth?;WHO ID changed;4090
waters;true_to_y(id3D253 == 'yes');Was the baby born 24 hours or more after the water broke?;Was the baby born 24 hours or more after the water broke?;WHO ID changed;4100
move_lb;true_to_y(id3D251 == 'yes');Did the baby stop moving in the womb before labour started?;Did the baby stop moving in the womb before labour started?;WHO ID changed;4110
cyanosis;true_to_y(id3D280 == 'yes');Was the baby blue in colour at birth?;Was the baby blue in colour at birth?;;4120
baby_br;true_to_y(id3D300 == 'yes');Did the baby breathe after birth, even a little?;Did the baby breathe immediately after birth, even a little?;;4130
born_nobr;true_to_y(id3D310 == 'yes');Was the baby given assistance to breathe at birth?;Was the baby given assistance to breathe at birth?;;4140
cried;true_to_y(id3D290 == 'yes');Did the baby cry after birth, even if only a little bit?;Did the baby cry immediately after birth, even if only a little bit?;;4150
no_life;true_to_y(id3D320 == 'yes');If the baby did not cry or breathe, was it born dead?;If the baby didn't show any sign of life, was it born dead?;;4160
mushy;true_to_y(id3D330 == 'yes');Was the baby born macerated, that is, showed signs of decay?;Was the dead baby macerated, that is, showed signs of decay?;;4170
fed_d1;true_to_y(id3D340 == 'yes');Was the baby able to suckle or bottle?feed within first 24 hours after birth?;Was the baby able to suckle or bottle-feed within the first 24 hours after birth?;;4180
st_suck;true_to_y(id3D345 == 'yes' && id3D350 >= 3);Did the baby stop suckling of bottle feeding 3 days after birth?;Did the baby stop suckling?;;4190
ab_posit;true_to_y(id3D277 == 'yes');Did the baby's bottom, feet, arm or hand come into the vagina before its head?;Did the baby's bottom, feet, arm or hand come out of the vagina before its head?;WHO ID changed;4200
