target variable	mapping	type	caption or calculation	Note	
general5-gen_5_2	map_code(c('male','female'),c(1,2),'id1A110')	add select one prompt using sex	What was the sex of the deceased?		
general5-deathDate-gen_5_3a	exp_def(substr(id1A230,0,4),999)	add integer prompt	What year did the deceased die?		
general5-deathDate-gen_5_3b	exp_def(substr(id1A230,6,7),99)	add integer prompt	What month did the deceased die?		
general5-deathDate-gen_5_3c	exp_def(substr(id1A230,9,10),99)	add integer prompt	What day of the month did the deceased die?		
general5-lastknownAge-gen_5_4	range_to_code(c(0,27,365,9999),c(4,2,1),9,'ageInDays')	add select one prompt using yearMonthDayNoAnswer	What was the last known age of the deceased?		
general5-lastknownAge-gen_5_4a	ageInYears	add integer prompt	Years - if one year or older		
general5-lastknownAge-gen_5_4b	ageInMonths	add integer prompt	Months - if less than one year		
general5-lastknownAge-gen_5_4c	ageInDays	add integer prompt	Days - if less than one month		
general5-lastknownAge-yearsfill	ageInYears	calculate			
general5-lastknownAge-monthsfill	ageInMonths	calculate			
general5-lastknownAge-daysfill	ageInDays	calculate			
general5-lastknownAge-ageminutes	age_neonate_minutes	calculate			
general5-lastknownAge-agehours	if(nchar(age_neonate_hours)>0){age_neonate_hours} else {0}	calculate			
general5-lastknownAge-agedays	if(nchar(ageInDays)>0){ageInDays} else {0}	calculate			
general5-lastknownAge-ageweeks	as.integer(t_yearsfill)*8765.81 + as.integer(t_monthsfill)*730.484 + as.integer(t_daysfill)*24*60	calculate			
general5-lastknownAge-agemonths	if(nchar(ageInMonths)>0){ageInMonths} else {0}	calculate			
general5-lastknownAge-ageyears	if(nchar(ageInYears)>0){ageInYears} else {0}	calculate			
general5-lastknownAge-gen_5_4d	map_code(c('neonate','child','adult'),c(1,2,3),'age_group')	add select one prompt using agegroup	What age group does the deceased's last known age fall into?		
general5-lastknownAge-qageCheck-gen_5_4e	""""""	add note prompt	No age has been provided or age group selected.  Please go back and select an age group or thank the respondent for his/her time and end the interview.		
general5-lastknownAge-UKagehoursN	if (t_gen_5_4d=='1') {672} else {''}	calculate			
general5-lastknownAge-UKagedaysN	if (t_gen_5_4d=='1') {28} else {''}	calculate			
general5-lastknownAge-UKageweeksN	if (t_gen_5_4d=='1') {4} else {''}	calculate			
general5-lastknownAge-UKagemonthsN	if (t_gen_5_4d=='1') {1} else {''}	calculate			
general5-lastknownAge-UKageyearsN	if (t_gen_5_4d=='1') {0.0766615} else {''}	calculate			
general5-lastknownAge-UKagehoursC	if (t_gen_5_4d=='2') {105190} else {''}	calculate			
general5-lastknownAge-UKagedaysC	if (t_gen_5_4d=='2') {4380} else {''}	calculate			
general5-lastknownAge-UKageweeksC	if (t_gen_5_4d=='2') {624} else {''}	calculate			
general5-lastknownAge-UKagemonthsC	if (t_gen_5_4d=='2') {144} else {''}	calculate			
general5-lastknownAge-UKageyearsC	if (t_gen_5_4d=='2') {12} else {''}	calculate			
general5-lastknownAge-UKageminutesA	if (t_gen_5_4d=='3') {63108000} else {''}	calculate			
general5-lastknownAge-UKagehoursA	if (t_gen_5_4d=='3') {1051800} else {''}	calculate			
general5-lastknownAge-UKagedaysA	if (t_gen_5_4d=='3') {43800} else {''}	calculate			
general5-lastknownAge-UKagemonthsA	if (t_gen_5_4d=='3') {1440} else {''}	calculate			
general5-lastknownAge-UKageyearsA	if (t_gen_5_4d=='3') {120} else {''}	calculate			
general5-gen_5_5	map_code(c('hospital','other_health_facility','home','on_route_to_hospital_or_facility','other','DK','Ref'),c(1,2,4,3,5,9,8),'id1A560')	add select one prompt using birthPlace	Where did the deceased die?		
general5-gen_5_2b	""""""	add text prompt	Where did the deceased die? [other, specified]		
general5-adult	if ( (4380 <= t_agedays) || (t_gen_5_4d == '3')){ '1'} else {'0'}	add calculate prompt	Indicator for adult decedent		
general5-child	if(((29 <t_agedays) && (t_agedays < 4380)) || (t_gen_5_4d=='2')){ '1'} else { '0'}	add calculate prompt	Indicator for child decedent		
general5-neonate	if((t_gen_5_4== '2' && t_gen_5_4b<= 1) || (t_gen_5_4== '4' && t_gen_5_4c<=28) || t_gen_5_4d=='1'){ '1'} else{ '0'}	add calculate prompt	Indicator for neonate decedent		
gen_6_a	""""""	add note prompt	Questions on the Notification of Death Section		
general6-gen_6_1	""""""	add select one prompt using yesno	Has this death been registered?		
general6-registerGen-gen_6_2a	""""""	add note prompt	Record the date of registration		
general6-registerGen-gen_6_2b	substr(id1A230,0,4)	add integer prompt	Year		
general6-registerGen-gen_6_2c	substr(id1A230,6,7)	add integer prompt	Month		
general6-registerGen-gen_6_2d	substr(id1A230,9,10)	add integer prompt	Day of the month		
general6-gen_6_3	id1A700	add integer prompt	Record the registration number:		
general6-gen_6_4	""""""	add select one prompt using yesno	Has this death been notified?		
general6-gen_6_5	""""""	add integer prompt	Record the notification number:		
general6-gen_6_6	""""""	add select one prompt using NationalID	Did the decedent have a National ID number?		
general6-gen_6_7	id1A730	add integer prompt	Record the National ID number:		
general6-gen_6_8	""""""	add select one prompt using yesno	Does one of the parents have a National ID number?		
general6-gen_6_9	""""""	add select one prompt using motherfather	Which parent will we record?		
general6-gen_6_10	""""""	add integer prompt	Record the parent’s National ID number:		
adult5-adult_5_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3E100')	add select one prompt using yesno	Did ${gen_5_0} suffer from any injury or accident that led to his/her death?		
adult5-adult_5_2	yes_to_code(c('id3E115','id3E310','id3E320','id3E510','id3E340','id3E112','id3E104','id3E104'),c(1,2,3,4,5,6,7,7),'9')	add select multiple prompt using accident	What kind of injury or accident did ${gen_5_0} suffer from?  (Read through the list in sequence and MARK ALL THAT APPLY)		
adult5-adult_5_2a	""""""	add text prompt	Decedent suffered other injury, specified		
adult5-adult_5_3	map_code(c('yes','no','','dk','ref'),c(1,0,0,9,8),'id3E113')	add select one prompt using yesno	Was the injury or accident self-inflicted?	Map empty answers to 0 (=no), as this means id3E101 (is this an accident) was answered with yes	
adult5-adult_5_4	map_code(c('yes','no','','dk','ref'),c(1,0,0,9,8),'id3E102')	add select one prompt using yesno	Was the injury or accident intentionally inflicted by someone else?	Map empty answers to 0 (=no), as this means id3E101 (is this an accident) was answered with yes	
child7-child_4_47	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3E100')	add select one prompt using yesno	Did ${gen_5_0} suffer from any injury or accident that led to his/her death?		
child7-child_4_48	yes_to_code(c('id3E115','id3E310','id3E320','id3E510','id3E340','id3E112','id3E104','id3E104'),c(1,2,3,4,5,6,7,7),'9')	add select multiple prompt using accidentchild	What kind of injury or accident did ${gen_5_0} suffer from?  (Read through the list in sequence and MARK ALL THAT APPLY)		
child7-child_4_48a	""""""	add text prompt	Decedent suffered other injury, specified		
child7-child_4_49	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3E102')	add select one prompt using yesno	Was the injury or accident intentionally inflicted by someone else?		
adultModule-adult_1_a	""""""	add note prompt	History of Chronic Conditions of the Deceased Section		
adultModule-adult1-adult_1_1	""""""	add note prompt	Was ${gen_5_0} ever told by a health professional that he or she ever suffered from one of the following?		
adultModule-adult1-adult_1_1a	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A180')	add select one prompt using yesno	Asthma		
adultModule-adult1-adult_1_1c	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A200')	add select one prompt using yesno	Cancer		
adultModule-adult1-adult_1_1m	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A210')	add select one prompt using yesno	COPD (Chronic Obstructive Pulmonary Disease)		
adultModule-adult1-adult_1_1g	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A170')	add select one prompt using yesno	Diabetes		
adultModule-adult1-adult_1_1h	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A190')	add select one prompt using yesno	Epilepsy		
adultModule-adult1-adult_1_1i	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A160')	add select one prompt using yesno	Heart Disease		
adultModule-adult1-adult_1_1d	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A100')	add select one prompt using yesno	Tuberculosis		
adultModule-adult1-adult_1_1l	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A150')	add select one prompt using yesno	Stroke		
adultModule-adult1-adult_1_1n	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3A110')	add select one prompt using yesno	AIDS		
adultModule-adult_2_a	""""""	add note prompt	Symptom Checklist Section		
adultModule-adult2-adult_2_2	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B100')	add select one prompt using yesno	Did ${gen_5_0} have a fever?		
adultModule-adult2-adult_2_4	map_code(c('mild','moderate','severe'),c(1,2,3),'id3B115')	add select one prompt using severity	How severe was the fever?		
adultModule-adult2-adult_2_5	map_code(c('continuous','on_and_off','nightly','DK','Ref'),c(1,2,3,9,8),'id3B117')	add select one prompt using pattern	What was the pattern of fever?		
adultModule-adult2-adult_2_7	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B560')	add select one prompt using yesno	Did ${gen_5_0} have a rash?		
adultModule-adult2-adult_2_9	map_code(c('face','trunk_or_abdomen','extremities','everywhere'),c(1,2,3,4),'id3B575')	add select multiple prompt using rashlocation	Where was the rash located?		
adultModule-adult2-adult_2_9a	""""""	add text prompt	Where was the rash located? [other location, specified]		
adultModule-adult2-adult_2_10	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B535')	add select one prompt using yesno	Did ${gen_5_0} have sores?		
adultModule-adult2-adult_2_11	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B537')	add select one prompt using yesno	Did the sores have clear fluid or pus?		
adultModule-adult2-adult_2_13	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B542')	add select one prompt using yesno	Did ${gen_5_0} have an ulcer (pit) on the foot?		
adultModule-adult2-adult_2_14	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B544')	add select one prompt using yesno	Did the ulcer ooze pus?		
adultModule-adult2-adult_2_15	4	add select one prompt using dayNoAnswer	For how many days did the ulcer ooze pus?		
adultModule-adult2-adult_2_15a	id3B546	add integer prompt	For how many days did the ulcer ooze pus? [specify units]		
adultModule-adult2-adult_2_21	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B750')	add select one prompt using yesno	Did ${gen_5_0} have yellow discoloration of the eyes?		
adultModule-adult2-adult_2_22	4	add select one prompt using monthDayNoAnswer	For how long did ${gen_5_0} have the yellow discoloration?		
adultModule-adult2-adult_2_22a	id3B755	add integer prompt	Number of days		
adultModule-adult2-adult_2_22b	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_25	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B650')	add select one prompt using yesno	Did ${gen_5_0} have puffiness of the face?		
adultModule-adult2-adult_2_26	4	add select one prompt using monthDayNoAnswer	For how long did ${gen_5_0} have puffiness of the face?		
adultModule-adult2-adult_2_26a	id3B652	add integer prompt	Number of days		
adultModule-adult2-adult_2_26b	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_27	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B665')	add select one prompt using yesno	Did ${gen_5_0} have general puffiness all over his/her body?		
adultModule-adult2-adult_2_29	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B690')	add select one prompt using yesno	Did ${gen_5_0} have a lump in the neck?		
adultModule-adult2-adult_2_30	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B700')	add select one prompt using yesno	Did ${gen_5_0} have a lump in the armpit?		
adultModule-adult2-adult_2_31	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B710')	add select one prompt using yesno	Did ${gen_5_0} have a lump in the groin?		
adultModule-adult2-adult_2_32	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B130')	add select one prompt using yesno	Did ${gen_5_0} have a cough?		
adultModule-adult2-adult_2_34	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B150')	add select one prompt using yesno	Did the cough produce sputum?		
adultModule-adult2-adult_2_35	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B160')	add select one prompt using yesno	Did ${gen_5_0} cough blood?		
adultModule-adult2-adult_2_36	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B180')	add select one prompt using yesno	Did ${gen_5_0} have difficulty breathing?		
adultModule-adult2-adult_2_43	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B270')	add select one prompt using yesno	Did ${gen_5_0} experience pain in the chest in the month preceding death?		
adultModule-adult2-adult_2_44	id3B272	add select one prompt using duration	How long did the pain last?	TODO: need to adjust the WHO questionnaire (currently days, needs to be hours maybe?)	
adultModule-adult2-adult_2_47	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B280')	add select one prompt using yesno	Did ${gen_5_0} have more frequent loose or liquid stools than usual?		
adultModule-adult2-adult_2_50	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B300')	add select one prompt using yesno	Was there blood in the stool?		
adultModule-adult2-adult_2_51	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B305')	add select one prompt using yesno	Was there blood in the stool up until death?		
adultModule-adult2-adult_2_52	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B500')	add select one prompt using yesno	Did ${gen_5_0} stop urinating?		
adultModule-adult2-adult_2_53	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B310')	add select one prompt using yesno	Did ${gen_5_0} vomit in the week preceding the death?		
adultModule-adult2-adult_2_55	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B320')	add select one prompt using yesno	Was there blood in the vomit?		
adultModule-adult2-adult_2_56	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B325')	add select one prompt using yesno	Was the vomit black?		
adultModule-adult2-adult_2_57	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B732')	add select one prompt using yesno	Did ${gen_5_0} have difficulty swallowing?		
adultModule-adult2-adult_2_58	4	add select one prompt using monthDayNoAnswer	For how long before death did ${gen_5_0} have difficulty swallowing?		
adultModule-adult2-adult_2_58a	id3B734	add integer prompt	Number of days		
adultModule-adult2-adult_2_58b	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_59	map_code(c('solids','liquids','both'),c(1,2,3),'id3B740')	add select one prompt using swallowing	Was the difficulty with swallowing with solids, liquids, or both?		
adultModule-adult2-adult_2_60	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B745')	add select one prompt using yesno	Did ${gen_5_0} have pain upon swallowing?		
adultModule-adult2-adult_2_61	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B340')	add select one prompt using yesno	Did ${gen_5_0} have belly pain?		
adultModule-adult2-adult_2_62	4	add select one prompt using monthDayHourNoAnswer	For how long before death did ${gen_5_0} have belly pain?		
adultModule-adult2-adult_2_62a	""""""	add integer prompt	Number of hours		
adultModule-adult2-adult_2_62b	id3B350	add integer prompt	Number of days		
adultModule-adult2-adult_2_62c	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_63	map_code(c('upper_abdomen','lower_abdomen'),c(1,2),'id3B355')	add select one prompt using bellypainlocation	Was the pain in the upper or lower belly?		
adultModule-adult2-adult_2_64	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B360')	add select one prompt using yesno	Did ${gen_5_0} have a more than usual protruding belly?		
adultModule-adult2-adult_2_65	4	add select one prompt using monthDayNoAnswer	For how long before death did ${gen_5_0} have a protruding belly?		
adultModule-adult2-adult_2_65a	id3B370	add integer prompt	Number of days		
adultModule-adult2-adult_2_65b	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_66	map_code(c('rapidly','slowly'),c(1,2),'id3B375')	add select one prompt using developmentspeed	How rapidly did ${gen_5_0} develop the protruding belly?		
adultModule-adult2-adult_2_67	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B380')	add select one prompt using yesno	Did ${gen_5_0} have any mass in the belly?		
adultModule-adult2-adult_2_68	4	add select one prompt using monthDayNoAnswer	For how long before death did ${gen_5_0} have a mass in the belly [Specify units]		
adultModule-adult2-adult_2_68a	id3B390	add integer prompt	Number of days		
adultModule-adult2-adult_2_68b	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_72	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B405')	add select one prompt using yesno	Did ${gen_5_0} have a stiff neck?		
adultModule-adult2-adult_2_73	4	add select one prompt using monthDayNoAnswer	For how long before death did ${gen_5_0} have stiff neck? 		
adultModule-adult2-adult_2_73a	id3B407	add integer prompt	Number of days		
adultModule-adult2-adult_2_73b	""""""	add integer prompt	Number of months		
adultModule-adult2-adult_2_74	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B438')	add select one prompt using yesno	Did ${gen_5_0} experience a period of loss of consciousness?		
adultModule-adult2-adult_2_75	map_code(c('yes','no'),c(1,2),'id3B450')	add select one prompt using startspeed	Did the period of loss of consciousness start suddenly or slowly?		
adultModule-adult2-adult_2_77	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B455')	add select one prompt using yesno	Did it continue until death?		
adultModule-adult2-adult_2_82	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B460')	add select one prompt using yesno	Did ${gen_5_0} have convulsions?		
adultModule-adult2-adult_2_83	6	add select one prompt using minuteHourNoAnswer	For how long before death did the convulsions last?		
adultModule-adult2-adult_2_83a	id3B470	add integer prompt	Number of minutes		
adultModule-adult2-adult_2_83b	""""""	add integer prompt	Number of hours		
adultModule-adult2-adult_2_84	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B480')	add select one prompt using yesno	Did the person become unconscious immediately after the convulsions?		
adultModule-adult2-adult_2_85	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B724')	add select one prompt using yesno	Was ${gen_5_0} in any way paralyzed?		
adultModule-adult2-adult_2_87	map_code(c('right_side','left_side','lower_part_of_body','upper_part_of_body','one_leg_only','one_arm_only','whole_body','other'),c(1,2,3,4,5,6,7,11),'id3B724')	add select multiple prompt using paralysislocation	Which were the limbs or body parts paralyzed? (Read through the list in sequence and MARK ALL THAT APPLY)		
adultModule-adult2-adult_2_87a	""""""	add text prompt	Paralyzed other (specify)		
adultModule-adult_3_a	""""""	add note prompt	Questions for Women Section		
adultModule-adult3-adult_3_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B720')	add select one prompt using yesno	Did ${gen_5_0} have any swelling or lump in the breast?		
adultModule-adult3-adult_3_2	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B722')	add select one prompt using yesno	Did ${gen_5_0} have any ulcers (pits) in the breast?		
adultModule-adult3-adult_3_3a	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B798')	add select one prompt using yesno	Did ${gen_5_0} ever have a period or menstrate?		
adultModule-adult3-adult_3_3	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B810')	add select one prompt using yesno	Had ${gen_5_0}'s periods stopped naturally because of menopause?		
adultModule-adult3-adult_3_4	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B820')	add select one prompt using yesno	Did ${gen_5_0} have vaginal bleeding after cessation of menstruation? (post menopausal)		
adultModule-adult3-adult_3_5	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B800')	add select one prompt using yesno	Did ${gen_5_0} have vaginal bleeding other than her period? (intermenstrual)		
adultModule-adult3-adult_3_6	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B830')	add select one prompt using yesno	Was there excessive vaginal bleeding in the week prior to death?		
adultModule-adult3-adult_3_7	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3B840')	add select one prompt using yesno	At the time of death was her period overdue?		
adultModule-adult3-qperiodoverdueatdeath-adult_3_8	3	add select one prompt using weekNoAnswer	For how many weeks was her period overdue?		
adultModule-adult3-qperiodoverdueatdeath-adult_3_8a	id3B850	add integer prompt	Number of weeks		
adultModule-adult3-adult_3_9	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C105')	add select one prompt using yesno	Did ${gen_5_0} have a sharp pain in the belly shortly before death?		
adultModule-adult3-adult_3_10	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C110')	add select one prompt using yesno	Was ${gen_5_0} pregnant at the time of death?		
adultModule-adult3-qpregnant-adult_3_11	2	add select one prompt using monthNoAnswer	For how many months was she pregnant?		
adultModule-adult3-qpregnant-adult_3_11a	id3C125	add integer prompt	Number of months		
adultModule-adult3-adult_3_12	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C393')	add select one prompt using yesno	Did ${gen_5_0} die during an abortion?		
adultModule-adult3-adult_3_13	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C310')	add select one prompt using yesno	Did bleeding occur while she was pregnant?		
adultModule-adult3-adult_3_14	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C340')	add select one prompt using yesno	Did she have excessive bleeding during labor or delivery?		
adultModule-adult3-adult_3_15	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C210')	add select one prompt using yesno	Did she die during labor or delivery?		
adultModule-adult3-qdeathlabordelivery-adult_3_16	5	add select one prompt using hourNoAnswer	For how many hours was she in labor?		
adultModule-adult3-qdeathlabordelivery-adult_3_16a	id3C370	add integer prompt	Number of hours		
adultModule-adult3-adult_3_17	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C395')	add select one prompt using yesno	Did she die within 6 weeks after having an abortion?		
adultModule-adult3-adult_3_18	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C120')	add select one prompt using yesno	Did she die within 6 weeks of childbirth?		
adultModule-adult3-adult_3_19	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3C350')	add select one prompt using yesno	Did she have excessive bleeding after delivery or abortion?		
adultModule-adult4-adult_4_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3F105')	add select one prompt using yesno	Did ${gen_5_0} use tobacco?		
adultModule-adult4-adult_4_2	map_code(c('cigarettes','pipe','chewing_tobacco','local_form_of_tobacco','other'),c(1,2,3,4,11),'id3F120')	add select multiple prompt using tobaccokinds	What kind of tobacco did ${gen_5_0} use?		
adultModule-adult4-adult_4_2a	""""""	add text prompt	Type of tobacco used: other, specify		
adultModule-adult4-adult_4_4	1	add select one prompt using cigarettesNoAnswer	How many cigarettes did ${gen_5_0} smoke daily?		
adultModule-adult4-adult_4_4a	id3F130	add integer prompt	Cigarettes		
adult_6_a	""""""	add note prompt	Health Records Section		
adult6-adult_6_1	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H130')	add select one prompt using yesno	Was care sought outside the home while ${gen_5_0} had this illness?		
adult6-adult_6_2	map_code(c('traditional_healer','homeopath','religious_leader','government_hospital','government_health_center_or_clinic','private_hospital','community_based_practitioner_associated_with_health_system','trained_birth_attendant','private_physician','pharmacy','dk','ref'),c(1,2,3,4,5,6,7,8,9,10,99,88),'id3H140')	add select multiple prompt using provider	Where or from whom did you seek care? (Check all that apply)		
adult6-adult_6_3	id3H150	add text prompt	Record the name and address of any hospital, health center or clinic where care was sought: 		
adult6-adult_6_3a	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H160')	add select one prompt using yesno	Did a health care worker tell you the cause of death?		
adult6-adult_6_3b	id3H170	add text prompt	What did the health care worker say?		
adult6-adult_6_4	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H180')	add select one prompt using yesno	Do you have any health records that belonged to the deceased? 		
adult6-adult_6_5	map_code(c('yes','no','dk','ref'),c(1,0,9,8),'id3H190')	add select one prompt using yesno	Can I see the health records? 		
adult6-adult_6_5a	""""""	add image prompt	Take a picture of the health records		
adult6-adult_6_5b	""""""	add image prompt	Take a second picture of the health records if necessary.		
adult6-qhealthrecordsAdult-adult_6_6	""""""	add select multiple prompt using dates	Are the dates known for the two most recent visits and the last note? (Mark all that apply)		
adult6-qhealthrecordsAdult-recent1Adult-adult_6_6a	""""""	add note prompt	Most recent visit		
adult6-qhealthrecordsAdult-recent1Adult-adult_6_6b	substr(id3H200,0,4)	add integer prompt	Year		
adult6-qhealthrecordsAdult-recent1Adult-adult_6_6c	substr(id3H200,6,7)	add integer prompt	Month		
adult6-qhealthrecordsAdult-recent1Adult-adult_6_6d	substr(id3H200,9,10)	add integer prompt	Day of the month		
adult6-qhealthrecordsAdult-recent2Adult-adult_6_6e	""""""	add note prompt	Second most recent visit		
adult6-qhealthrecordsAdult-recent2Adult-adult_6_6f	substr(id3H210,0,4)	add integer prompt	Year		
adult6-qhealthrecordsAdult-recent2Adult-adult_6_6g	substr(id3H210,6,7)	add integer prompt	Month		
adult6-qhealthrecordsAdult-recent2Adult-adult_6_6h	substr(id3H210,9,10)	add integer prompt	Day of the month		
adult6-qhealthrecordsAdult-lastNoteAdult-adult_6_7	""""""	add note prompt	Record the date of the last note		
adult6-qhealthrecordsAdult-lastNoteAdult-adult_6_7a	substr(id3H220,0,4)	add integer prompt	Year		
adult6-qhealthrecordsAdult-lastNoteAdult-adult_6_7b	substr(id3H220,6,7)	add integer prompt	Month		
adult6-qhealthrecordsAdult-lastNoteAdult-adult_6_7c	substr(id3H220,9,10)	add integer prompt	Day of the month		
adult6-qhealthrecordsAdult-lastNoteAdult-adult_6_8	id3H250	add text prompt	Transcribe the note:		
